机故编码,机故详情
1,急停报警
2,对位X轴伺服报警
3,对位Y轴伺服报警
4,对位Z轴伺服报警
5,对位R轴伺服报警
6,取料X轴伺服报警
7,取料Y轴伺服报警
8,转盘Q伺服报警
9,对位X轴+极限报警
10,对位X轴-极限报警
11,对位Y轴+极限报警
12,对位Y轴-极限报警
13,对位Z轴+极限报警
14,对位Z轴-极限报警
15,对位R轴+极限报警
16,对位R轴-极限报警
17,撕膜升降气缸原位异常
18,撕膜升降气缸到位异常
19,撕膜定位气缸原位异常
20,撕膜定位气缸到位异常
21,支撑张开气缸原位异常
22,支撑张开气缸到位异常
23,撕膜夹子气缸原位异常
24,撕膜夹子气缸到位异常
25,取盘升降气缸原位异常
26,取盘升降气缸到位异常
27,左插盘气缸原位异常
28,左插盘气缸到位异常
29,右插盘气缸原位异常
30,右插盘气缸到位异常
31,左组档盘气缸原位异常
32,左组档盘气缸到位异常
33,右阻挡盘气缸原位异常
34,右阻挡盘气缸到位异常
35,转盘1工站真空异常
36,转盘2工站真空异常
37,转盘3工站真空异常
38,转盘4工站真空异常
39,取盘真空异常
40,对位臂真空异常
41,取料臂真空异常
42,前安全门禁报警
43,后安全门禁报警
44,左安全门禁报警
45,右安全门禁报警
46,视觉通讯失败
47,检测失败NG报警
48,取料Z丢步报警
49,撕膜Q轴+限位异常
50,撕膜Q轴-限位异常
51,接驳Y轴+限位异常
52,接驳Y轴-限位异常
53,取料X轴+限位异常
54,取料X轴-限位异常
55,取料Y轴+限位异常
56,取料Y轴-限位异常
57,取料Z轴+限位异常
58,取料Z轴-限位异常
59,取料R轴+限位异常
60,取料R轴-限位异常
61,满盘Z轴+限位异常
62,满盘Z轴-限位异常
63,空盘Z轴+限位异常
64,空盘Z轴-限位异常
65,扫码检测报警
66,贴合没到位报警
67,接驳台光纤信号异常
68,满料无盘报警
69,空盘料仓出盘报警
70,接驳台光纤异常报警
71,支架拾取拍照失败报警
72,支架拾取位置计算失败
73,手机目标拍照失败
74,组装对位失败报警
75,对位贴合数据异常报警
76,料仓抽屉异常报警
77,Z轴复位异常
78,抛料感应器报警
79,抛料满盘报警
80,贴合上限报警
81,
82,
83,
84,
85,
86,
87,
